Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Erling Haaland,no NOR,FW,Manchester City,eng Premier League,25-166,2000,19,19,"1,641",18.2,01.04,0.22,1.26,0.99,0.05,0.11,0.00,0.00,0.93,0.84,0.14,0.98,1.43,0.77,2.97,01.04,0.22,1.26,0.99,1.21,0.93,0.14,01.07,0.84,0.98,Matches
2,Harry Kane,eng ENG,"FW,MF",Bayern Munich,de Bundesliga,32-159,1993,15,13,"1,174",13.0,1.46,0.23,1.69,1.00,0.46,0.46,0.00,0.00,0.99,0.63,0.26,0.89,1.23,3.23,4.31,1.46,0.23,1.69,1.00,1.23,0.99,0.26,1.25,0.63,0.89,Matches
3,Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,27-014,1998,18,18,"1,57",17.4,01.03,0.23,1.26,0.75,0.29,0.34,0.17,0.00,0.90,0.63,0.32,0.95,4.20,4.66,9.60,01.03,0.23,1.26,0.75,0.97,0.90,0.31,1.22,0.63,0.95,Matches
4,Mason Greenwood,eng ENG,"FW,MF",Marseille,fr Ligue 1,24-094,2001,15,14,"1,222",13.6,0.81,0.22,01.03,0.51,0.29,0.37,0.15,0.00,0.63,0.34,0.29,0.63,4.34,7.21,10.1,0.81,0.22,01.03,0.52,0.74,0.63,0.30,0.93,0.34,0.64,Matches
5,Thiago,br BRA,FW,Brentford,eng Premier League,24-191,2001,19,18,"1,582",17.6,0.63,0.06,0.68,0.34,0.28,0.34,0.17,0.00,0.52,0.25,0.13,0.39,0.63,01.08,3.64,0.63,0.06,0.68,0.34,0.40,0.52,0.13,0.65,0.25,0.39,Matches
6,Ferrán Torres,es ESP,FW,Barcelona,es La Liga,25-308,2000,17,13,"1,081",12.0,0.92,0.08,1.00,0.92,0.00,0.00,0.17,0.00,0.71,0.71,0.12,0.83,0.58,1.25,5.83,0.92,0.08,1.00,0.92,1.00,0.71,0.11,0.82,0.71,0.82,Matches
7,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,28-134,1997,16,15,"1,22",13.6,0.66,0.22,0.88,0.66,0.00,0.00,0.15,0.00,0.57,0.57,0.14,0.71,01.03,2.43,7.35,0.66,0.22,0.89,0.66,0.89,0.57,0.14,0.71,0.57,0.71,Matches
8,Vedat Muriqi,xk KVX,FW,Mallorca,es La Liga,31-254,1994,16,15,"1,267",14.1,0.64,0.00,0.64,0.50,0.14,0.14,0.07,0.07,0.43,0.31,0.01,0.33,0.78,01.06,3.97,0.64,0.00,0.64,0.50,0.50,0.43,0.02,0.44,0.32,0.33,Matches
9,Joaquín Panichelli,ar ARG,"FW,MF",Strasbourg,fr Ligue 1,23-088,2002,16,15,"1,315",14.6,0.62,0.00,0.62,0.48,0.14,0.14,0.14,0.00,0.61,0.50,0.11,0.62,0.55,0.75,5.14,0.62,0.00,0.62,0.48,0.48,0.61,0.11,0.72,0.50,0.61,Matches
10,Antoine Semenyo,gh GHA,"FW,MF",Bournemouth,eng Premier League,25-361,2000,18,18,"1,619",18.0,0.50,0.17,0.67,0.44,0.06,0.11,0.22,0.00,0.36,0.27,0.12,0.39,3.78,3.56,6.17,0.50,0.17,0.67,0.44,0.61,0.36,0.12,0.47,0.27,0.39,Matches
11,Jonathan Burkardt,de GER,FW,Eint Frankfurt,de Bundesliga,25-176,2000,10,8,680,7.6,01.05,0.00,01.05,0.92,0.13,0.13,0.13,0.00,0.84,0.74,0.03,0.76,0.66,1.32,3.55,01.06,0.00,01.06,0.93,0.93,0.85,0.03,0.88,0.74,0.77,Matches
12,Dominic Calvert-Lewin,eng ENG,FW,Leeds United,eng Premier League,28-293,1997,17,12,"1,135",12.6,0.63,0.00,0.63,0.56,0.08,0.08,0.00,0.00,0.54,0.48,0.10,0.57,0.63,0.95,4.60,0.63,0.00,0.63,0.56,0.56,0.54,0.10,0.64,0.48,0.57,Matches
13,Luis Díaz,co COL,FW,Bayern Munich,de Bundesliga,28-355,1997,14,13,"1,162",12.9,0.62,0.47,01.09,0.62,0.00,0.00,0.39,0.00,0.59,0.59,0.22,0.81,4.11,3.64,12.3,0.62,0.46,01.08,0.62,01.08,0.59,0.22,0.80,0.59,0.80,Matches
14,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23-197,2002,18,13,"1,132",12.6,0.63,0.16,0.79,0.63,0.00,0.00,0.00,0.00,0.46,0.46,0.12,0.58,2.30,0.95,6.19,0.64,0.16,0.80,0.64,0.80,0.46,0.12,0.58,0.46,0.58,Matches
15,Esteban Lepaul,fr FRA,FW,Rennes,fr Ligue 1,25-260,2000,14,14,"1,116",12.4,0.65,0.24,0.89,0.65,0.00,0.00,0.00,0.00,0.52,0.52,0.14,0.65,0.40,1.53,4.35,0.65,0.24,0.89,0.65,0.89,0.52,0.14,0.66,0.52,0.66,Matches
16,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,37-135,1988,13,7,671,7.5,01.07,0.13,1.20,0.93,0.13,0.40,0.13,0.00,01.01,0.69,0.12,0.81,0.80,01.07,5.60,01.07,0.13,1.21,0.94,01.07,01.02,0.12,1.14,0.70,0.82,Matches
